seed,mean_auc,mean_spearman
0,0.7190990466947716,0.40609044575226066
1,0.7170942667011828,0.4034986928141417
2,0.7186980075691722,0.4049500270360373
3,0.721118399975162,0.4101892081759525
4,0.7191845872249732,0.40700030538834764
5,0.719784012620163,0.40707307419909733
6,0.717683901878556,0.4042455338642743
7,0.7195823315881928,0.4061596809873561
8,0.7168392611716246,0.4016060610787424
9,0.7192151790684069,0.4066425366875365
10,0.7185976902020004,0.4064687947766001
11,0.7169484660406422,0.40186393466178244
